ID;фамилия;имя;отчество;пол;дата рождения;номер полиса ОМС;СНИЛС ВРАЧА;ISHL;ISHOB
167663715;ИваИПОВА;ИваА;ИваОЛАЕВНА;Ж;01.01.1961;1234567879000648;163-184-322 54;302;301
167663716;ИваЯНЦЕВА;ИваА;ИваКСЕЕВНА;Ж;01.05.1989;1234567872000648;221-096-992 56;306;314
167663717;ИваЕВА;ИваГА;ИваОЛАЕВНА;Ж;01.01.1978;1234567878000595;011-400-853 76;302;301
167663718;ИваРИЕНКО;ИваНА;ИваКСАНДРОВНА;Ж;01.10.1967;1234567896000469;013-359-200 13;302;301
167663719;ИваЧАРОВ;ИваКСАНДР;ИваРЕЕВИЧ;М;01.01.1954;1234567839000248;013-359-163 25;302;301
167663720;ИваВЧЕНКО;ИваНА;ИваКСАНДРОВНА;Ж;01.11.1980;1234567889001159;011-400-846 77;302;301
167663721;ИваОМИЙЦЕВА;ИваАИДА;ИваГОРЬЕВНА;Ж;01.05.1949;1234567889000823;213-991-874 91;302;301
167663722;ИваЕНКИНА;ИваЕНТИНА;ИваЕНЬЕВНА;Ж;01.11.2000;1234567782000558;163-184-322 54;302;301
167663723;ИваКБАЕВА;ИваЕНТИНА;ИваГОРЬЕВНА;Ж;01.12.1952;1234567890000622;213-991-874 91;302;301
167663724;ИваНКО;ИваЕНТИНА;ИваТРИЕВНА;Ж;01.02.1962;1234567882000745;110-147-456 99;304;305
167663725;ИваАБАНОВА;ИваЕНИЯ;ИваИФОВНА;Ж;01.05.1950;1234567871000718;106-331-746 22;302;301
167663726;ИваОБЬЕВА;ИваА;ИваТОРОВНА;Ж;01.08.1965;1234567885000638;011-400-847 78;302;301
167663727;ИваОФЕЕВ;ИваТОЛИЙ;ИваКСАНДРОВИЧ;М;01.09.1959;1234567826000380;141-558-479 69;302;301
167663728;ИваАНОВА;ИваТОРИЯ;ИваАЙЛОВНА;Ж;01.09.1992;1234567888000780;163-184-322 54;302;301
167663729;ИваНИКОВА;ИваТЕРИНА;ИваЕВНА;Ж;01.01.1991;1234567892000384;011-400-846 77;302;301
167663730;ИваОШЕНКО;ИваГА;ИваКСАНДРОВНА;Ж;01.04.1975;1234567874000943;180-945-708 95;306;314
167663731;ИваСНИКОВ;ИваРЬ;ИваДИМИРОВИЧ;М;01.02.1967;1234567832000010;106-331-746 22;302;301
167663732;ИваТЕНКО;ИваТОРИЯ;ИваЕРЬЕВНА;Ж;01.03.1978;1234567868000748;116-568-015 57;302;301
167663733;ИваКОВ;ИваКСАНДР;ИваНАДЬЕВИЧ;М;01.11.1974;1234567822000495;141-558-479 69;302;301
167663734;ИваЕНКО;ИваГА;ИваКСАНДРОВНА;Ж;01.06.1984;1234567898000942;221-096-992 56;302;301
167663735;ИваЯРЕНКО;ИваНА;ИваДИМИРОВНА;Ж;01.01.1963;1234567882000761;030-392-764 31;302;301
167663736;ИваНИРЫК;ИваНА;ИваДИМИРОВНА;Ж;01.11.1968;1234567877000590;072-250-835 41;302;301
167663737;ИваЕВНИНА;ИваИЯ;ИваКСАНДРОВНА;Ж;01.08.1994;1234567870000429;013-359-200 13;302;301
167663738;ИваТЕЧКО;ИваТРИЙ;ИваГЕЕВИЧ;М;01.04.1993;1234567834000576;072-250-835 41;302;301
167663739;ИваИЕВ;ИваГЕЙ;ИваЕРЬЕВИЧ;М;01.07.1994;1234567818000449;013-359-200 13;306;314
167663740;ИваИНА;ИваМИЛА;ИваАЙЛОВНА;Ж;01.06.1969;1234567885000618;116-568-015 57;302;301
167663741;ИваОЗОВА;ИваА;ИваОЛАЕВНА;Ж;01.03.1954;1234567885000803;013-359-163 25;302;301
167663742;ИваЬБА;ИваТЛАНА;ИваТРИЕВНА;Ж;01.02.1950;1234567881000523;013-358-894 49;302;301
167663743;ИваАЙЛОВА;ИваТЛАНА;ИваРГИЕВНА;Ж;01.02.1957;1234567892000792;013-358-894 49;302;301
167663744;ИваНО;ИваИЯ;ИваОЛАЕВНА;Ж;01.10.1955;1234567888000761;116-568-015 57;302;301
167663745;ИваЕНКО;ИваОВЬ;ИваСТАНТИНОВНА;Ж;01.12.1959;1234567877000715;116-568-015 57;302;301
167663746;ИваРНОВА;ИваИНА;ИваТОРОВНА;Ж;01.12.1968;1234567870000033;116-568-015 57;302;301
167663747;ИваАН;ИваГА;ИваОЛАЕВНА;Ж;01.01.2000;1234567770000484;056-013-932 33;302;301
167663748;ИваТЕР;ИваТЛАНА;ИваДИМИРОВНА;Ж;01.09.1969;1234567875000910;116-568-015 57;302;301
167663749;ИваОЗ;ИваКСАНДРА;ИваОЛАЕВНА;Ж;01.12.1948;1234567890000595;213-991-874 91;302;301
167663750;ИваОЖКО;ИваТЛАНА;ИваДИМИРОВНА;Ж;01.09.2002;1234567776000706;140-869-445 79;306;314
167663751;ИваЧЕНКО;ИваТОР;ИваДИМИРОВИЧ;М;01.02.1956;1234567821000040;163-184-322 54;302;301
167663752;ИваУКОВА;ИваОВЬ;ИваАЙЛОВНА;Ж;01.05.1955;1234567872001090;176-817-604 08;302;301
167663753;ИваКСЕЕВА;ИваЕЖДА;ИваСЛАВОВНА;Ж;01.06.2001;1234567794000188;116-568-015 57;302;301
167663754;ИваЕТНИКОВА;ИваЬЯНА;ИваРОВНА;Ж;01.09.1961;1234567897001196;013-359-163 25;302;301
167663755;ИваМЕНКО;ИваЯ;ИваАЙЛОВНА;Ж;01.10.1946;1234567892000746;163-184-322 54;302;301
167663756;ИваОВА;ИваСТАСИЯ;ИваГЕЕВНА;Ж;01.06.1982;1234567881001351;176-817-604 08;302;301
167663757;ИваНЕВА;ИваИСА;ИваТОРОВНА;Ж;01.07.1966;1234567897000577;013-359-200 13;302;301
167663758;ИваТАН;ИваТОЛИЙ;ИваКСЕЕВИЧ;М;01.03.1958;1234567844000323;150-494-998 86;304;305
167663759;ИваОВ;ИваИС;ИваЕНТИНОВИЧ;М;01.10.1980;1234567844001111;176-817-604 08;302;301
167663760;ИваДОВА;ИваНА;ИваТОРОВНА;Ж;01.07.1970;1234567875000589;140-869-445 79;306;314
167663761;ИваАНОВА;ИваТОРИЯ;ИваАЙЛОВНА;Ж;01.09.1992;1234567888000780;153-911-603 53;302;301
167663762;ИваИКОВА;ИваА;ИваГОРЬЕВНА;Ж;01.11.1962;1234567874000085;056-013-932 33;306;314
167663763;ИваШИНА;ИваИНА;ИваДИМИРОВНА;Ж;01.10.1979;1234567894000243;034-476-715 62;306;314
167663764;ИваОВИНКИНА;ИваА;ИваРЕЕВНА;Ж;01.01.1996;1234567890000520;072-250-835 41;302;301
167663765;ИваОВИЧ;ИваЯ;ИваДИМИРОВНА;Ж;01.11.1998;1234567886000459;059-248-515 88;302;301
167663766;ИваДЮКОВА;ИваНА;ИваКСЕЕВНА;Ж;01.10.1976;1234567897000361;116-568-015 57;304;305
167663767;ИваАНОВА;ИваСЯ;ИваИЛЬЕВНА;Ж;01.07.1991;1234567895000594;176-817-604 08;302;301
167663768;ИваОНЯН;ИваНА;ИваОРКОВНА;Ж;01.12.0175;1234567880000771;141-558-479 69;302;301
167663769;ИваАСЕНКО;ИваОВЬ;ИваНОВНА;Ж;01.11.1957;1234567898001283;049-901-947 94;302;301
167663770;ИваРАЛИЕВА;ИваИСЕ;ИваАХАНОВНА;Ж;01.06.1960;1234567882000620;059-248-515 88;302;301
167663771;ИваВИНОВА;ИваЕРИЯ;ИваКСАНДРОВНА;Ж;01.01.1990;1234567883002171;110-147-456 99;302;301
167663772;ИваСАЕВ;ИваГЕЙ;ИваКСЕЕВИЧ;М;01.03.0101;1234567729000169;011-400-847 78;302;301
167663773;ИваКОВ;ИваЕНИЙ;ИваТОЛЬЕВИЧ;М;01.10.1972;1234567819000158;176-817-604 08;302;301
167663774;ИваРИЛЕНКО;ИваКСАНДР;ИваЛОВИЧ;М;01.11.1979;1234567840000512;121-850-443 27;306;314
167663775;ИваОНЯН;ИваРАН;ИваАЕВИЧ;М;01.03.1968;1234567847000511;141-558-479 69;302;301
167663776;ИваСТУНОВА;ИваЕНТИНА;ИваДИМИРОВНА;Ж;01.10.1961;1234567893000634;034-476-715 62;306;314
167663777;ИваОФЕЕВА;ИваА;ИваИЛЬЕВНА;Ж;01.09.1949;1234567886000278;049-901-947 94;302;301
167663778;ИваЕНОВА;ИваЬЯНА;ИваАЙЛОВНА;Ж;01.02.0182;1234567880001341;110-147-456 99;302;301
167663779;ИваЛОВА;ИваСА;ИваКСЕЕВНА;Ж;01.04.1942;1234567882000402;059-248-515 88;302;301
167663780;ИваРИЛЕНКО;ИваКСАНДР;ИваЛОВИЧ;М;01.11.1979;1234567840000512;144-740-578 67;306;314
167663781;ИваСОВА;ИваТЕРИНА;ИваКСЕЕВНА;Ж;01.09.1979;1234567898000289;110-147-456 99;302;301
167663782;ИваИНА;ИваСТАСИЯ;ИваТРИЕВНА;Ж;01.09.1998;1234567871000584;049-901-947 94;302;301
167663783;ИваКИН;ИваКСЕЙ;ИваАЙЛОВИЧ;М;01.08.1950;1234567826000287;049-901-947 94;302;301
167663784;ИваЕЦКАЯ;ИваМИЛА;ИваОЛАЕВНА;Ж;01.07.1956;1234567878000025;110-147-456 99;306;314
167663785;ИваЫХ;ИваЕНТИНА;ИваКСАНДРОВНА;Ж;01.11.1956;1234567882001222;049-901-947 94;302;301
167663786;ИваОЛОВА;ИваЬЯНА;ИваОЛАЕВНА;Ж;01.06.1972;1234567877000713;030-392-764 31;302;301
167663787;ИваМ;ИваА;ИваОЛАЕВНА;Ж;01.09.1955;1234567891000796;059-248-515 88;302;301
167663788;ИваКИНА;ИваАНА;ИваКСАНДРОВНА;Ж;01.04.1972;1234567882000631;030-392-764 31;302;301
167663789;ИваАНОВА;ИваМИЛА;ИваКСАНДРОВНА;Ж;01.03.1966;1234567890000182;049-901-947 94;302;301
167663790;ИваУЙКО;ИваНИД;ИваЕНОВИЧ;М;01.06.1947;1234567829000740;141-558-479 69;302;301
167663791;ИваАРЕВА;ИваТЛАНА;ИваИМОНОВНА;Ж;01.02.1964;1234567889001039;159-313-001 47;302;301
167663792;ИваЯЕВА;ИваАЛЬЯ;ИваКСЕЕВНА;Ж;01.01.1992;1234567869000702;110-147-456 99;302;301
167663793;ИваЕЖНЯК;ИваТОРИЯ;ИваТРИЕВНА;Ж;01.05.2001;1234567790000512;215-427-096 46;302;301
167663794;ИваРИЛЕНКО;ИваКСАНДР;ИваЛОВИЧ;М;01.11.1979;1234567840000512;049-901-947 94;302;301
167663795;ИваОЛОТСКАЯ;ИваА;ИваКСЕЕВНА;Ж;01.04.1948;1234567894000518;011-400-853 76;302;301
167663796;ИваАЛКА;Ива;ИваРОВНА;Ж;01.11.1965;1234567883000297;116-568-015 57;302;301
167663797;ИваЫГИНА;ИваИЯ;ИваНОВНА;Ж;01.01.1957;1234567898002700;049-901-947 94;302;301
167663798;ИваИХОВА;ИваНИЯ;ИваКСЕЕВНА;Ж;01.07.1997;1234567875000545;011-400-846 77;302;301
167663799;ИваЫВАНОВА;ИваИСА;ИваТОРОВНА;Ж;01.11.1964;1234567893000351;121-850-443 27;302;301
167663800;ИваЕНОВА;ИваИНА;ИваЕНОВНА;Ж;01.09.1938;1234567881000350;180-945-708 95;302;301
167663801;ИваОНИНА;ИваИСА;ИваСТАНТИНОВНА;Ж;01.08.1942;1234567894000238;180-945-708 95;302;301
167663802;ИваАМОВА;ИваИНА;ИваОЛАЕВНА;Ж;01.11.1983;1234567889000728;116-568-015 57;302;301
167663803;ИваОРЕНКО;ИваА;ИваТОРОВНА;Ж;01.09.1938;1234567877000273;180-945-708 95;302;301
167663804;ИваАСИМОВА;ИваСТАСИЯ;ИваГЕЕВНА;Ж;01.08.1978;1234567895000955;121-850-443 27;306;314
167663805;ИваЙНИКОВ;ИваДИМИР;ИваОЛАЕВИЧ;М;01.02.1958;1234567832000649;106-331-746 22;302;301
167663806;ИваГОРЕНКО;ИваСТАСИЯ;ИваГЕЕВНА;Ж;01.06.1996;1234567873000569;106-331-746 22;302;301
167663807;ИваИН;ИваРЕЙ;ИваИЛЬЕВИЧ;М;01.10.1989;1234567821001141;159-313-001 47;302;301
167663808;ИваАМОВА;ИваИНА;ИваОЛАЕВНА;Ж;01.11.1983;1234567889000728;141-558-479 69;306;314
167663809;ИваРАЙ;ИваСА;ИваОНОВНА;Ж;01.08.1940;1234567890000857;159-313-001 47;302;301
167663810;ИваКИНА;ИваТОРИЯ;ИваГЕЕВНА;Ж;01.07.1993;1234567881000712;141-558-479 69;302;301
167663811;ИваИНЦЕВА;ИваЕЖДА;ИваЕВНА;Ж;01.11.1967;1234567874000383;049-901-947 94;302;301
167663812;ИваИНА;ИваЯ;ИваДИМИРОВНА;Ж;01.11.1986;1234567871000865;116-568-015 57;302;301
167663813;ИваЩЕНКО;ИваКСАНДР;ИваКСАНДРОВИЧ;М;01.05.1967;1234567847000321;011-400-847 78;302;301
167663814;ИваИНОВ;ИваКСАНДР;ИваОЛАЕВИЧ;М;01.02.1977;1234567839000550;049-901-947 94;302;301
167663815;ИваЖИЕВ;ИваАТУЛА;ИваЕВИЧ;М;01.10.1961;1234567844000412;011-400-853 76;302;301
167663816;ИваЕНЯН;ИваИНЕ;ИваОМОНОВНА;Ж;01.09.1965;1234567884000846;030-392-764 31;306;314
167663817;ИваЧЕНКО;ИваНА;ИваНОВНА;Ж;01.01.1970;1234567887000415;116-568-015 57;302;301
167663818;ИваКО;ИваТЛАНА;ИваТОРОВНА;Ж;01.12.1966;1234567881000466;213-991-874 91;302;301
167663819;ИваЕНКО;ИваМИЛА;ИваАШОВНА;Ж;01.10.1951;1234567893000278;150-494-998 86;302;301
167663820;ИваИЛЕНКО;ИваИС;ИваГЕЕВИЧ;М;01.12.1977;1234567828000051;150-494-998 86;302;301
167663821;ИваЬЯКОВ;ИваЕНИЙ;ИваГЕЕВИЧ;М;01.05.1988;1234567833000594;150-494-998 86;302;301
167663822;ИваРИДНЫЙ;ИваКСАНДР;ИваОЛАЕВИЧ;М;01.03.1968;1234567826000052;150-494-998 86;302;301
167663823;ИваАТОВ;ИваТОЛИЙ;ИваНОВИЧ;М;01.07.1951;1234567833000549;176-817-604 08;302;301
167663824;ИваИДЕНКО;ИваНА;ИваТОЛЬЕВНА;Ж;01.03.1973;1234567874000319;034-479-692 84;302;301
167663825;ИваНИКОВА;ИваНА;ИваОЛАЕВНА;Ж;01.10.1968;1234567896000552;013-359-200 13;304;305
167663826;ИваЮН;ИваЬЯНА;ИваОНОРОВНА;Ж;01.12.1954;1234567892000673;213-991-874 91;302;301
167663827;ИваЦОВА;ИваЬЯНА;ИваАЙЛОВНА;Ж;01.07.1973;1234567879000323;049-901-947 94;302;301
167663828;ИваОЗОВ;ИваЕНИЙ;ИваЕСЛАВОВИЧ;М;01.11.1979;1234567819000659;013-359-163 25;302;301
167663829;ИваИЕВА;ИваШЕДА;ИваИХОНОВНА;Ж;01.09.2000;1234567798000438;116-568-015 57;302;301
167663830;ИваНЕЦОВА;ИваМИЛА;ИваГЕЕВНА;Ж;01.01.1941;1234567891000604;150-494-998 86;302;301
167663831;ИваБАТКО;ИваЬЯНА;ИваАЙЛОВНА;Ж;01.05.1955;1234567898001538;013-359-200 13;302;301
167663832;ИваОВА;ИваАЛЬЯ;ИваГЕЕВНА;Ж;01.10.1993;1234567897000496;176-817-604 08;304;305
167663833;ИваЕНКО;ИваАН;ИваКСАНДРОВИЧ;М;01.07.1995;1234567833000575;011-400-847 78;302;301
167663834;ИваЕДЕВА;ИваА;ИваЛОВНА;Ж;01.10.1951;1234567895000649;059-248-515 88;302;301
167663835;ИваКИНА;ИваГА;ИваГЕЕВНА;Ж;01.06.1991;1234567886000662;116-568-015 57;302;301
167663836;ИваЧЕНКО;ИваНАДИЙ;ИваТОЛЬЕВИЧ;М;01.10.1958;1234567836000661;034-479-692 84;301;301
167663837;ИваРНОВА;ИваИЯ;ИваРЕЕВНА;Ж;01.02.1994;1234567894000027;150-494-998 86;306;314
167663838;ИваОНОВА;ИваГА;ИваТОРОВНА;Ж;01.01.1961;1234567871000778;159-313-001 47;302;301
167663839;ИваОНКОВА;ИваА;ИваЬЯНОВНА;Ж;01.01.1948;1234567890000584;030-392-764 31;302;301
167663840;ИваСУНОВ;ИваРЕЙ;ИваДИМИРОВИЧ;М;01.01.1981;1234567837000470;013-359-163 25;302;301
167663841;ИваЬМИНА;ИваНА;ИваНОВНА;Ж;01.11.1963;1234567891001084;213-991-874 91;302;301
167663842;ИваТЕРОВА;ИваЕНТИНА;ИваКСЕЕВНА;Ж;01.09.1938;1234567879001378;059-248-515 88;302;301
167663843;ИваАВИШНИКОВА;ИваСТАСИЯ;ИваДИМИРОВНА;Ж;01.12.1988;1234567895000106;221-096-992 56;302;301
167663844;ИваВЧЕНКО;ИваНА;ИваИЛЬЕВНА;Ж;01.01.1952;1234567886000780;013-359-163 25;302;301
167663845;ИваЛЯРОВА;ИваНА;ИваНОВНА;Ж;01.10.1964;1234567893000234;011-400-853 76;302;301
167663846;ИваОНОВ;ИваНАДИЙ;ИваТОРОВИЧ;М;01.04.1967;1234567832000533;013-359-200 13;302;301
167663847;ИваБЕНЮК;ИваНА;ИваТОЛЬЕВНА;Ж;01.04.1981;1234567879000726;013-359-163 25;302;301
167663848;ИваЧЕНКО;ИваИНА;ИваЕРЬЕВНА;Ж;01.01.1969;1234567885000431;030-392-764 31;302;301
167663849;ИваРАШОВА;ИваЛЬДА;ИваТОРОВНА;Ж;01.12.1991;1234567875000132;140-869-445 79;306;314
167663850;ИваЕНКО;ИваЕРИЙ;ИваИСОВИЧ;М;01.05.1951;1234567843000388;059-248-515 88;302;301
167663851;ИваЭР;ИваГ;ИваКСАНДРОВИЧ;М;01.08.2000;1234567739000614;159-313-001 47;302;301
167663852;ИваРИЛЬЧЕНКО;ИваТЛАНА;ИваБЕРТОВНА;Ж;01.08.1968;1234567870000565;011-400-853 76;302;301
167663853;ИваМИНОВА;ИваАЛЬЯ;ИваКСАНДРОВНА;Ж;01.04.1977;1234567897000361;011-400-846 77;302;301
167663854;ИваИЛЕНКО;ИваАЛЬЯ;ИваГОРЬЕВНА;Ж;01.12.1958;1234567873000253;150-494-998 86;302;301
167663855;ИваЧИКОВ;ИваКСАНДР;ИваИЕВИЧ;М;01.01.1963;1234567847000467;049-901-947 94;302;301
167663856;ИваИСОВА;ИваСТАСИЯ;ИваОЛАЕВНА;Ж;01.06.2002;1234567778000396;116-568-015 57;302;301
167663857;ИваОЛОВА;ИваИНА;ИваОЛАЕВНА;Ж;01.05.1975;1234567896000765;049-901-947 94;302;301
167663858;ИваФИМОВА;ИваАЛЬЯ;ИваГОРЬЕВНА;Ж;01.11.1952;1234567871000707;180-945-708 95;302;301
167663859;ИваУЛЕЕВА;ИваА;ИваЛАНОВНА;Ж;01.04.1992;1234567889000537;140-869-445 79;306;314
167663860;ИваЧЕНКО;ИваИНА;ИваЕРЬЕВНА;Ж;01.01.1969;1234567885000431;072-250-835 41;302;301
167663861;ИваОВИНКИНА;ИваА;ИваРЕЕВНА;Ж;01.01.1996;1234567890000520;110-147-456 99;302;301
167663862;ИваОКА;ИваОВЬ;ИваНОВНА;Ж;01.09.1949;1234567879000183;049-901-947 94;302;301
167663863;ИваАРЯН;ИваТЛАНА;ИваНОВНА;Ж;01.03.1967;1234567897000534;110-147-456 99;302;301
167663864;ИваФИМОВА;ИваАЛЬЯ;ИваГОРЬЕВНА;Ж;01.11.1952;1234567871000707;213-991-874 91;302;301
167663865;ИваИЖЕВСКАЯ;ИваЯ;ИваОЛАЕВНА;Ж;01.04.2000;1234567785000589;072-250-835 41;306;314
167663866;ИваНЯКОВА;ИваТЕРИНА;ИваКСАНДРОВНА;Ж;01.11.1998;1234567885000468;196-271-193 97;302;301
167663867;ИваЧЕНКО;ИваИНА;ИваЕРЬЕВНА;Ж;01.01.1969;1234567885000431;213-991-874 91;302;301
167663868;ИваЛАК;ИваТЕРИНА;ИваКСАНДРОВНА;Ж;01.07.1985;1234567872000873;150-494-998 86;302;301
167663869;ИваОЛОВА;ИваИНА;ИваОЛАЕВНА;Ж;01.05.1975;1234567896000765;116-568-015 57;302;301
167663870;ИваИН;ИваТОР;ИваТОРОВИЧ;М;01.01.1988;1234567844001363;013-359-163 25;302;301
167663871;ИваАНОВА;ИваМИЛА;ИваКСАНДРОВНА;Ж;01.02.1960;1234567896000638;049-901-947 94;306;314
167663872;ИваУБОВА;ИваНА;ИваТОЛЬЕВНА;Ж;01.10.1973;1234567897000429;056-013-932 33;306;314
167663873;ИваЧЕНКО;ИваИНА;ИваЕРЬЕВНА;Ж;01.01.1969;1234567885000431;180-945-708 95;302;301
167663874;ИваУР;ИваНАДИЙ;ИваКСАНДРОВИЧ;М;01.04.1968;1234567840000337;213-991-874 91;302;301
167663875;ИваФАНОВА;ИваГА;ИваКСАНДРОВНА;Ж;01.04.1967;1234567888000445;072-250-835 41;302;301
167663876;ИваРНОВСКАЯ;ИваИНА;ИваЕВНА;Ж;01.03.1981;1234567894000046;034-479-694 86;306;314
167663877;ИваЛАКОВ;ИваРЬ;ИваОЛАЕВИЧ;М;01.09.1973;1234567833000313;013-358-894 49;302;301
167663878;ИваЛОВ;ИваКСАНДР;ИваЕВИЧ;М;01.01.1971;1234567846000419;013-359-200 13;302;301
167663879;ИваНИКОВ;ИваЕНИЙ;ИваЕВИЧ;М;01.07.1984;1234567847001458;011-400-853 76;306;314
167663880;ИваЫДОВА;ИваНА;ИваЕРЬЕВНА;Ж;01.03.0167;1234567880000566;056-013-932 33;304;305
167663881;ИваИСОВА;ИваЕНТИНА;ИваНОВНА;Ж;01.06.1953;1234567882000732;213-991-874 91;302;301
167663882;ИваОВ;ИваТОЛИЙ;ИваИЛЬЕВИЧ;М;01.11.1950;1234567837000017;011-400-853 76;302;301
167663883;ИваИЛЕНКО;ИваАЛИЯ;ИваНОВНА;Ж;01.10.1954;1234567875000730;176-817-604 08;302;301
167663884;ИваАЛЕВА;ИваА;ИваПАНОВНА;Ж;01.09.1941;1234567878000823;176-817-604 08;302;301
167663885;ИваНЯКОВА;ИваАЛЬЯ;ИваТОЛЬЕВНА;Ж;01.11.1988;1234567869001416;116-568-015 57;302;301
167663886;ИваГЕЕВ;ИваИС;ИваОЛАЕВИЧ;М;01.10.1946;1234567838000412;030-392-764 31;302;301
167663887;ИваЬЩИКОВ;ИваЙ;ИваНИДОВИЧ;М;01.07.1957;1234567835000326;049-901-947 94;306;314
167663888;ИваМЫКО;ИваОВЬ;ИваОРОВНА;Ж;01.07.1951;1234567886000644;221-096-992 56;302;301
167663889;ИваОРИН;ИваКСЕЙ;ИваИЛЬЕВИЧ;М;01.02.1976;1234567837000444;011-400-847 78;302;301
167663890;ИваДЮК;ИваИНА;ИваТОЛЬЕВНА;Ж;01.06.1970;1234567875000748;034-476-715 62;306;314
167663891;ИваЮКОВА;ИваГА;ИваНАСЬЕВНА;Ж;01.07.1960;1234567876001007;150-494-998 86;302;301
167663892;ИваЯНОВА;ИваЕНТИНА;ИваОЛАЕВНА;Ж;01.05.0148;1234567880000457;034-479-692 84;302;301
167663893;ИваАШ;ИваН;ИваИЛЬЕВИЧ;М;01.04.1954;1234567832000758;213-991-874 91;302;301
167663894;ИваЬЩИКОВ;ИваЙ;ИваНИДОВИЧ;М;01.07.1957;1234567835000326;144-740-578 67;306;314
167663895;ИваЛИНА;ИваЕНТИНА;ИваТРИЕВНА;Ж;01.06.1956;1234567891000621;013-359-163 25;302;301
167663896;ИваУКОВА;ИваОВЬ;ИваАЙЛОВНА;Ж;01.05.1955;1234567872001090;072-250-835 41;302;301
167663897;ИваЬМИНА;ИваНА;ИваТОРОВНА;Ж;01.10.1984;1234567890000270;056-013-932 33;306;314
167663898;ИваНКО;ИваКСАНДР;ИваКСАНДРОВИЧ;М;01.01.1954;1234567838000869;159-313-001 47;302;301
167663899;ИваНО;ИваМИЛА;ИваДИМИРОВНА;Ж;01.02.1959;1234567892000853;163-184-322 54;302;301
167663900;ИваЛУТИНА;ИваИНА;ИваЛОВНА;Ж;01.02.1959;1234567877002951;059-248-515 88;302;301
167663901;ИваИТОНОВА;ИваНА;ИваТОРОВНА;Ж;01.03.1976;1234567895000766;013-359-163 25;302;301
167663902;ИваОЧЕРНОВА;ИваЬЯНА;ИваНОВНА;Ж;01.10.0156;1234567880000041;072-250-835 41;302;301
167663903;ИваИН;ИваКСАНДР;ИваДИМИРОВИЧ;М;01.10.1957;1234567842001723;176-817-604 08;302;301
167663904;ИваЛУТИНА;ИваИНА;ИваЛОВНА;Ж;01.02.1959;1234567877002951;163-184-322 54;302;301
167663905;ИваОЧЕНКО;ИваМИЛА;ИваГОРЬЕВНА;Ж;01.12.1970;1234567870000574;056-013-932 33;306;314
167663906;ИваАНОВА;ИваСЯ;ИваИЛЬЕВНА;Ж;01.07.1991;1234567895000594;116-568-015 57;302;301
167663907;ИваУКОВА;ИваОВЬ;ИваАЙЛОВНА;Ж;01.05.1955;1234567872001090;034-476-715 62;306;314
167663908;ИваАРЕНКО;ИваИСА;ИваТОЛЬЕВНА;Ж;01.12.1963;1234567895000265;140-869-445 79;306;314
167663909;ИваЛО;ИваКСАНДР;ИваДИМИРОВИЧ;М;01.06.1976;1234567819098212;011-400-847 78;302;301
167663910;ИваЯВСКАЯ;ИваТЛАНА;ИваЕНЬЕВНА;Ж;01.09.1998;1234567885000039;176-817-604 08;302;301
167663911;ИваОВА;ИваОРА;ИваДАРБЕКОВНА;Ж;01.08.2004;1234567780000348;150-494-998 86;306;314
167663912;ИваИПНИКОВ;ИваКСАНДР;ИваДИМИРОВИЧ;М;01.12.1956;1234567842000430;030-392-764 31;302;301
167663913;ИваКАШИНА;ИваАЛЬЯ;ИваОЛАЕВНА;Ж;01.01.1966;1234567881000090;034-479-694 86;302;301
167663914;ИваЛЬ;ИваЬЯНА;ИваЛОВНА;Ж;01.04.1957;1234567882000762;221-096-992 56;306;314
167663915;ИваЕНКО;ИваКСАНДР;ИваДИМИРОВИЧ;М;01.10.1956;1234567843000635;213-991-874 91;302;301
167663916;ИваДЫЧЕВ;ИваДИМИР;ИваРОВИЧ;М;01.03.1949;1234567842000546;110-147-456 99;302;301
167663917;ИваОЧКИН;ИваРЬ;ИваТОРОВИЧ;М;01.06.1963;1234567824000726;013-359-200 13;302;301
167663918;ИваЬМИНА;ИваНА;ИваТОРОВНА;Ж;01.10.1984;1234567890000270;013-359-163 25;306;314
167663919;ИваАИНЦЕВ;ИваНАДИЙ;ИваТОЛЬЕВИЧ;М;01.02.1966;1234567827000411;034-479-694 86;302;301
167663920;ИваЫПЧЕНКО;ИваКСАНДР;ИваДИМИРОВИЧ;М;01.05.1980;1234567835000327;034-479-694 86;302;301
167663921;ИваРЯХИН;ИваДИМИР;ИваАЙЛОВИЧ;М;01.11.1946;1234567833000079;163-184-322 54;302;301
167663922;ИваОМОВ;ИваКСАНДР;ИваНОВИЧ;М;01.06.1951;1234567842000281;011-400-853 76;302;301
167663923;ИваНЕВА;ИваГА;ИваКСАНДРОВНА;Ж;01.08.1963;1234567890001030;150-494-998 86;302;301
167663924;ИваАРЕВА;ИваЬЯНА;ИваЛОВНА;Ж;01.01.1964;1234567874000330;159-313-001 47;306;314
167663925;ИваГАРЕВ;ИваКСАНДР;ИваЛОВИЧ;М;01.06.1971;1234567821000478;163-184-322 54;302;301
167663926;ИваРОВА;ИваМИЛА;ИваКСЕЕВНА;Ж;01.06.1999;1234567876000071;153-911-603 53;302;301
167663927;ИваОЧКИНА;ИваА;ИваГЕЕВНА;Ж;01.03.1989;1234567877001045;180-945-708 95;306;314
167663928;ИваЬКОВСКИЙ;ИваТОР;ИваРЕЕВИЧ;М;01.04.1963;1234567844000555;180-945-708 95;302;301
